tag,en,ja_easy,vi,ko,zh_TW
net_wage,This is the actual amount you receive after deductions.,これは あなたが もらう お金です。,Đây là số tiền thực tế bạn nhận được sau khi trừ các khoản khấu trừ.,이 금액은 공제 후 실제로 받는 금액입니다.,這是扣除各項費用後你實際收到的金額。
deduction_housing,This is a housing or dormitory fee. Check whether it matches your agreement.,これは へやだい です。契約と 同じか かくにんしてください。,Đây là tiền nhà hoặc ký túc xá. Hãy kiểm tra có đúng với thỏa thuận không.,기숙사 또는 주거비입니다. 계약 내용과 같은지 확인하세요.,這是住宿或宿舍費。請確認是否與合約一致。
minimum_wage_review,Your wage may need further review against the applicable minimum wage.,給料が きまった 金額より 少ないかもしれません。相談してください。,Mức lương của bạn có thể cần được kiểm tra theo mức lương tối thiểu.,임금이 최저임금 기준에 맞는지 확인이 필요할 수 있습니다.,你的工資可能需要依最低工資標準進一步確認。
fixed_overtime_review,Fixed overtime may be included. Check how many hours are covered.,固定残業代が あるかもしれません。何時間分か かくにんしてください。,Có thể đã bao gồm tiền làm thêm cố định. Hãy kiểm tra bao gồm bao nhiêu giờ.,고정 연장근로수당이 포함되어 있을 수 있습니다. 몇 시간분인지 확인하세요.,可能包含固定加班費。請確認包含幾小時。
legal_disclaimer,This tool does not make a legal determination.,これは 法律の 判断では ありません。,Công cụ này không phải là kết luận pháp lý.,이 도구는 법적 판단을 하는 것이 아닙니다.,此工具不作法律判斷。
official_source,"For the official MWPTS source, see https://github.com/aburaage666-alt/mwpts-core.",公式のMWPTSは https://github.com/aburaage666-alt/mwpts-core で かくにんできます。,Vui lòng xem kho lưu trữ chính thức của MWPTS: https://github.com/aburaage666-alt/mwpts-core,공식 MWPTS 자료는 https://github.com/aburaage666-alt/mwpts-core 에서 확인하세요.,請查看 MWPTS 官方專案來源：https://github.com/aburaage666-alt/mwpts-core
deduction_statutory,This is a statutory tax or insurance deduction.,これは 税金や 保険など 法律で 決まった ひきざんです。,Đây là khoản khấu trừ thuế hoặc bảo hiểm bắt buộc theo luật.,세금 또는 보험 등 법으로 정해진 공제입니다.,這是依法規定的稅金或保險扣除。
deduction_meals,This is a meal or food fee. Check whether the amount was explained in advance.,これは 食事代です。先に 説明が あったか かくにんしてください。,Đây là tiền ăn. Hãy kiểm tra khoản này đã được giải thích trước chưa.,식비입니다. 사전에 설명을 받았는지 확인하세요.,這是餐費。請確認是否事先說明。
premium_pay_review,"Overtime, night, or holiday premium pay may need review.",残業・深夜・休日の 割増賃金を かくにんする 必要が あるかもしれません。,"Tiền làm thêm, làm đêm hoặc ngày nghỉ có thể cần được kiểm tra.",연장·야간·휴일 가산수당 확인이 필요할 수 있습니다.,加班、夜間或假日加給可能需要確認。
retaliation_note,"If you fear retaliation, consult a support organization before contacting the employer.",会社に 知られるのが 心配なときは、先に 支援機関に 相談してください。,"Nếu bạn lo bị trả đũa, hãy trao đổi với tổ chức hỗ trợ trước khi liên hệ công ty.",보복이 걱정되면 회사에 연락하기 전에 지원기관과 먼저 상담하세요.,如果擔心遭到報復，請先與支援機構相談，再聯絡雇主。
deduction_recruitment_related,This may be a recruitment-related fee or debt repayment. Further review may be needed.,これは 採用費や 借金の 返済かもしれません。かくにんが 必要です。,Đây có thể là phí liên quan đến tuyển dụng hoặc trả nợ. Có thể cần kiểm tra thêm.,채용 관련 비용 또는 채무 상환일 수 있습니다. 추가 확인이 필요할 수 있습니다.,這可能是招聘相關費用或債務償還，可能需要進一步確認。
